generation,evaluations,best_fitness,mean_fitness,mean_modules,variant,seed
2,300,15.4494443758404,16.963258685682128,13.15,Tournament selection,46
3,400,15.41916017074176,16.25626785793038,11.16,Tournament selection,46
4,500,14.937663853655728,15.822328785131235,12.04,Tournament selection,46
5,600,14.597617696340304,15.518372214639005,12.13,Tournament selection,46
6,700,13.991153452528778,15.178472805864333,12.42,Tournament selection,46
7,800,13.627361849549567,14.859057474586956,12.63,Tournament selection,46
8,900,13.627361849549567,14.554165830425234,13.08,Tournament selection,46
9,1000,13.627361849549567,14.330711444104194,13.02,Tournament selection,46
10,1100,13.4,14.148468651686226,13.18,Tournament selection,46
11,1200,13.4,14.010857679185468,13.16,Tournament selection,46
12,1300,13.336660026534076,13.905152708294096,13.32,Tournament selection,46
13,1400,13.3,13.821028449906873,13.31,Tournament selection,46
14,1500,13.3,13.74531397783744,13.37,Tournament selection,46
15,1600,13.18309518948453,13.675323449197084,13.42,Tournament selection,46
16,1700,13.18309518948453,13.614691331191802,13.42,Tournament selection,46
17,1800,13.089897948556636,13.55209042544628,13.41,Tournament selection,46
18,1900,13.089897948556636,13.47058872125606,13.5,Tournament selection,46
19,2000,13.089897948556636,13.42245442037566,13.45,Tournament selection,46
20,2100,13.00830459735946,13.357646599703958,13.38,Tournament selection,46
21,2200,12.974165738677394,13.30200506126747,13.36,Tournament selection,46
22,2300,12.774165738677397,13.239277715548964,13.5,Tournament selection,46
23,2400,12.774165738677397,13.17688519991892,13.34,Tournament selection,46
24,2500,12.774165738677397,13.12877564944188,13.23,Tournament selection,46
25,2600,12.774165738677397,13.103035873469643,13.19,Tournament selection,46
26,2700,12.7,13.05297968358042,13.35,Tournament selection,46
27,2800,12.7,13.037851542024825,13.23,Tournament selection,46
28,2900,12.7,13.005375702161928,13.33,Tournament selection,46
29,3000,12.7,12.987140980215411,13.33,Tournament selection,46
30,3100,12.7,12.976876273034218,13.39,Tournament selection,46
31,3200,12.7,12.95107643632713,13.43,Tournament selection,46
32,3300,12.7,12.93507908916262,13.4,Tournament selection,46
33,3400,12.7,12.91305477237052,13.36,Tournament selection,46
34,3500,12.7,12.88976920195607,13.43,Tournament selection,46
35,3600,12.7,12.880441924199664,13.58,Tournament selection,46
